Gender,Program_Stream,Preferred_Study_Time,Age,Weekly_Revision_Days,Number_of_Subjects,Assignment_Quality_Rating,Exercise_Days_Per_Week,Daily_Commute_Time_Minutes,Phone_Usage_During_Study_Minutes,Caffeine_Intake_Cups,Daily_Study_Hours,Study_Hours_Before_Exam,Class_Attendance_Percentage,Group_Study,Coaching_or_Tuition,Average_Sleep_Hours,Daily_Screen_Time_Hours,Part_Time_Job,Stress_Level,Motivation_Level,Concentration_Ability,Study_Environment_Quality,Uses_AI_Tools,Uses_Handwritten_Notes,Final_Score_Percentage
Male,BHMS,Night (6:00 PM - 6:00 AM),22,1,2,4,5,0,50,0,0.0,8.062295511482935,90.51,0,0,7.01,9.967458873886839,0,0.9667307443218203,7.972116386225684,9.991517322429571,10.001180375445056,0,1,73.99
Female,CSE,Night (6:00 PM - 6:00 AM),19,2,5,4,0,300,6,1,4.01,12.904348180424313,89.92,1,0,7.98,2.983482383801464,0,3.0380508693561135,4.987978357343531,5.0336135090954475,0.9940133933699125,0,0,76.02
Male,CSE,Night (6:00 PM - 6:00 AM),22,2,5,2,5,5,50,4,3.01,12.029458561214483,90.22,1,1,7.01,6.982582104272333,0,4.94625551162241,10.047270235381843,9.984354236853193,4.959269442296202,1,1,83.18
Male,DROPOUT,Morning (6:00 AM - 12:00 PM),19,2,6,6,0,40,20,0,4.97,5.975169446807855,66.91,0,0,11.99,4.0146704475917305,0,9.034385723379316,9.994547776349005,2.0207361987575996,5.029674719676461,1,0,88.12
Male,CSE,Night (6:00 PM - 6:00 AM),21,1,5,7,1,600,3,2,0.04,15.048775081023797,98.4,0,1,11.01,4.988088645515836,0,7.022354833245983,1.0386916011056888,5.978957905296778,7.989731044437176,1,0,90.16
Male,CSE,Night (6:00 PM - 6:00 AM),20,0,4,5,6,0,90,1,2.97,4.9514541057468575,87.1,1,0,10.0,2.9926552019258574,0,8.98767434311773,4.021069306631037,9.979400404134779,3.0357117128881073,1,1,49.66
Female,CSE,Morning (6:00 AM - 12:00 PM),24,1,5,8,4,50,60,2,0.0,5.121803924290408,77.08,0,1,7.98,4.983302365644042,0,9.978963909225037,8.992257271731383,5.028979748440613,8.004504256162924,1,1,79.97
Male,CSE,Afternoon (12:00 PM - 6:00 PM),22,1,6,6,0,30,40,0,5.01,12.018740094581538,94.97,0,1,9.99,8.956772958711989,0,10.034550208611929,7.038291639681451,5.010685325572944,5.046516912988616,1,0,88.78
Male,BCA,Afternoon (12:00 PM - 6:00 PM),22,0,7,5,0,45,60,2,15.97,0.02641551335297006,43.98,0,0,10.03,5.071980673335087,0,7.050458607617732,1.0088518466573064,4.947153010983996,6.013926048448243,1,0,85.07
Female,CSE,Night (6:00 PM - 6:00 AM),20,7,6,8,3,2,10,0,3.01,7.963989513787204,86.94,1,0,6.05,4.01117230618506,0,8.982794274703553,1.000366981607941,5.9791069258942375,7.967109242100479,1,1,91.74
Male,CSE,Morning (6:00 AM - 12:00 PM),26,0,6,3,4,25,60,0,1.93,19.993786807884586,63.93,0,0,9.97,3.040829500187406,0,1.0162758128452205,6.997833804050727,6.937090520030355,7.9858880490389925,1,0,86.15
Male,CSE,Night (6:00 PM - 6:00 AM),20,1,7,8,6,70,2,2,3.04,4.994994751395193,85.12,0,0,8.02,4.969056253843059,1,8.027465690184757,9.011902521895491,6.990810726975025,7.996115292749818,1,0,70.22
Male,CSE,Night (6:00 PM - 6:00 AM),23,0,5,5,7,5,60,0,1.02,8.08366538927258,97.79,0,0,9.01,1.042124867470193,0,2.016906697476716,3.969396434377673,6.993309199925932,1.9799308747100608,1,0,79.97
Female,CSE,Night (6:00 PM - 6:00 AM),21,2,7,5,4,240,50,3,12.95,5.01865987555664,88.75,1,0,8.04,7.989002932044478,0,4.001522974096494,3.0243843125053433,5.988400091468884,4.9913396326552055,1,1,68.05
Male,BA,Night (6:00 PM - 6:00 AM),21,0,7,8,1,50,90,2,0.0,7.025332958297404,19.74,0,0,5.99,6.0147083256391065,0,4.9890689333236224,3.011972622338779,7.0295231844324935,3.9686040163499934,1,1,85.22
Male,BSC,Morning (6:00 AM - 12:00 PM),22,7,6,6,4,15,60,1,0.05,15.02481212706146,86.47,1,0,6.02,6.027508360887271,0,3.007795574228342,8.984507816012208,6.010107538309235,5.000131406907701,1,0,78.29
Male,MBA,Night (6:00 PM - 6:00 AM),20,0,7,5,2,20,50,1,1.98,5.02928227992017,85.12,0,1,6.99,4.041909326094488,0,4.941515347497674,8.965594759269479,7.060340012049172,8.005452899364736,1,0,71.24
Male,BBA,Night (6:00 PM - 6:00 AM),20,0,6,4,7,120,30,3,0.97,6.935275753780917,86.07,1,0,7.02,2.9987135749571845,1,3.0375952976771274,0.9932009209542026,7.013070024592199,2.9769375232734125,0,1,90.08
Male,CSE,Morning (6:00 AM - 12:00 PM),24,1,6,6,5,15,40,4,1.93,8.095460073088763,19.76,0,1,10.04,5.972142270643572,0,9.952141497851843,7.0067854104277245,6.013520385502087,3.0445639381186504,0,0,76.23
Male,CSE,Night (6:00 PM - 6:00 AM),19,7,4,10,4,35,2,3,3.99,3.9591243708386528,52.14,1,0,6.0,5.999590212852192,0,2.976488280948029,3.004230526958434,8.00665576612774,1.001458778395659,1,1,90.86
Male,CSE,Night (6:00 PM - 6:00 AM),22,0,4,8,1,6,0,2,4.99,1.9982110292569728,43.97,0,0,6.98,1.0163940046362816,0,4.99054129539169,3.0040634211284796,7.993417174708911,6.981241021066595,1,1,70.9
Male,CSE,Night (6:00 PM - 6:00 AM),19,3,7,7,4,600,15,0,5.02,5.071340333047814,98.05,0,0,7.03,7.985136188966394,0,8.971996443690056,3.018275769969485,9.98410292529516,7.962572592278489,1,1,72.13
Male,BA LLB,Morning (6:00 AM - 12:00 PM),18,3,7,10,4,0,10,2,2.96,15.090119722012776,68.78,0,0,6.01,3.9882641348290666,0,7.9683632096065695,4.968789515235149,7.994249893805594,7.001376773767605,1,1,82.0
Female,BBA,Morning (6:00 AM - 12:00 PM),20,1,7,5,6,40,15,6,5.95,8.037543372219393,67.04,0,0,8.01,2.9570552554261225,0,5.039522575129324,2.9982257722697545,3.99537320766203,5.994017075547308,1,1,89.09
Female,BHMS,Night (6:00 PM - 6:00 AM),21,0,5,8,6,0,360,0,4.01,7.976490049407554,74.9,0,0,6.03,12.972868451202471,1,8.050371023243617,5.008078430942604,5.997694691751195,4.017984955195776,1,0,93.13
Female,CSE,Morning (6:00 AM - 12:00 PM),20,0,7,5,0,30,10,4,2.03,10.00595019739594,71.83,0,0,5.98,4.012323593423019,0,2.0434213455943837,5.012495773653248,6.0155627687925834,0.9967070586377627,0,0,86.13
Male,BA LLB,Morning (6:00 AM - 12:00 PM),19,4,3,1,0,120,56,10,11.95,13.00777775665593,68.17,0,1,6.99,1.0244626042386453,0,2.023428424726271,5.024379452907304,10.007342875775587,4.9725825578003855,1,0,90.74
Male,CSE,Night (6:00 PM - 6:00 AM),20,3,3,7,4,10,0,4,2.53,4.00942785757092,67.65,0,0,6.01,3.0305596130360506,0,5.069107561405685,8.994480438675426,8.987350632610468,8.038373210673814,1,0,74.1
Male,BHMS,Night (6:00 PM - 6:00 AM),21,3,7,9,0,30,35,0,3.0,7.94270102997292,85.13,0,0,9.99,0.06312857866270809,0,7.9925327312047605,1.001445806410286,4.981937424938662,6.010005472086066,1,1,9.91
Male,CSE,Night (6:00 PM - 6:00 AM),21,3,6,8,6,60,80,1,3.03,8.058699077778341,90.16,0,0,7.99,2.04127745672908,0,2.9898415485368046,2.979886835114083,2.0054881471759303,9.994163607864639,1,1,95.04
Male,CSE,Morning (6:00 AM - 12:00 PM),20,2,5,6,7,2,120,0,4.0,12.006269493693663,89.8,0,1,9.02,2.995783365606064,0,3.0003158890679895,6.0105305017994395,5.9773224575808515,1.003781432852446,1,1,86.94
Male,CSE,Night (6:00 PM - 6:00 AM),20,2,6,3,4,60,65,0,2.92,4.966357229588622,86.81,0,0,6.01,2.9740469294975895,0,4.040071170125231,4.976390443649537,5.989554122804366,7.010887839026474,1,1,88.94
Male,CSE,Morning (6:00 AM - 12:00 PM),20,0,5,5,6,40,360,1,2.5,3.976783593910079,79.95,0,0,7.98,5.992895238784837,0,7.016432520476372,1.015561326149739,5.986997839298938,1.9671818905718272,1,1,69.91
Male,B.DES,Morning (6:00 AM - 12:00 PM),35,2,3,9,2,20,60,0,4.03,8.012570294736761,20.06,1,1,4.01,3.9847123876988313,0,8.048439391125868,5.032036547029443,7.05936598827775,1.0036219352709073,1,1,74.11
Prefer not to say,BBA,Night (6:00 PM - 6:00 AM),20,1,6,5,0,60,30,0,0.47,6.934649072623368,82.97,1,0,8.02,8.004601129769407,0,1.0018316000024035,10.012701465331382,4.968820512030451,5.989661522885424,1,1,77.98
Female,BA,Morning (6:00 AM - 12:00 PM),24,7,5,9,5,6,120,1,5.99,13.04091971970172,74.1,1,0,7.0,2.024712251094369,0,9.957979235645338,9.034807365786182,4.980603975174603,6.011651712480752,1,1,77.97
Female,BCA,Night (6:00 PM - 6:00 AM),21,0,4,1,2,20,66,0,1.99,14.010934329059387,95.4,0,0,6.02,6.0133073550409675,0,3.981121766569657,4.987700043673414,8.986404893735912,5.9829994338394155,1,1,88.95
Female,BCA,Night (6:00 PM - 6:00 AM),21,1,7,7,4,30,60,3,8.91,12.072933768250957,66.88,0,0,9.99,3.0437125655537067,0,4.028734093770494,5.96748696273587,3.9889402306027577,6.986111152470422,1,0,90.08
Male,CSE,Night (6:00 PM - 6:00 AM),20,2,4,10,6,60,120,0,4.05,10.003614045258871,84.61,1,0,8.0,8.010970776500905,0,7.9861305397288485,2.995612035437457,7.024465582771942,8.038192975521119,1,1,84.88
Female,CSE,Morning (6:00 AM - 12:00 PM),23,2,5,10,0,40,3,2,3.97,11.949445484245558,98.19,0,0,11.97,5.964618502475153,0,1.0026739957117394,6.983345107678257,5.993775062537627,4.0282717015145115,0,1,75.22
Female,CSE,Night (6:00 PM - 6:00 AM),20,3,8,4,2,40,50,2,2.02,0.9442033086821482,80.38,0,0,6.01,4.984190024418224,1,6.00691940391608,2.986616431934833,6.967596557616106,6.92430724932105,1,1,73.91
Male,BCOM,Afternoon (12:00 PM - 6:00 PM),20,2,4,10,0,5,60,0,1.0,4.9817999478379615,0.09,0,0,6.01,6.01116630290267,0,9.050702573489907,2.9397367326728134,9.035014835294954,8.026568615040679,1,1,84.94
Female,CSE,Morning (6:00 AM - 12:00 PM),20,2,4,10,4,15,10,3,3.04,4.986728417946696,73.75,1,0,7.98,13.006342653186866,0,2.024660369216319,7.004763513626639,5.0064513141035984,2.998308353522788,1,0,93.3
Male,CSE,Night (6:00 PM - 6:00 AM),18,3,12,8,3,60,20,0,6.01,12.97357551970418,33.3,0,0,7.03,4.036287241119518,1,10.019160150891306,6.000583352153229,4.0102903196156445,2.9837344095906446,1,0,85.07
Male,CSE,Night (6:00 PM - 6:00 AM),20,4,4,10,0,50,40,1,2.99,4.0059849470231725,63.74,1,1,8.01,12.000195218201297,0,3.0044297270857814,9.022866953409213,1.0159261446582157,6.976867118527955,1,1,67.97
Female,CSE,Night (6:00 PM - 6:00 AM),21,0,7,3,3,0,30,2,0.97,6.97239316314344,45.15,1,1,5.99,1.9951070824269772,0,0.9767000565116751,5.015001871107596,5.969851633578072,6.9782005794827615,1,0,73.97
Male,CSE,Night (6:00 PM - 6:00 AM),24,4,8,5,5,30,30,5,4.02,8.011841551218293,79.69,0,0,12.01,4.956342149904028,0,1.006802492554848,2.995244099298341,7.9998316218011345,5.98438316901622,1,1,60.15
Male,CSE,Afternoon (12:00 PM - 6:00 PM),22,2,4,4,2,25,45,1,2.94,3.9757468846470965,44.93,0,1,5.98,5.977623776502718,0,4.061008923121867,6.024759626503186,7.020096144579759,7.974111915701229,1,1,85.68
Male,BSC,Night (6:00 PM - 6:00 AM),23,3,5,9,0,5,40,0,5.02,2.029426350741659,86.77,0,0,9.98,6.008564471799159,0,3.014391351637707,1.0240487568003842,8.984332435766463,6.968887431057682,0,1,81.92
Male,CSE,Night (6:00 PM - 6:00 AM),22,1,5,8,2,3,50,2,2.97,19.985554816685823,77.03,0,0,6.98,2.0058152077267906,0,2.984537888969559,4.986791199810478,6.007504064672929,3.976104453515277,1,1,81.88
Female,BBA,Night (6:00 PM - 6:00 AM),24,1,6,6,0,20,360,2,2.04,6.058051447515242,79.92,0,0,5.98,7.0165004776945175,0,3.9882620736719234,3.0053190486191825,8.013300038582654,7.007427739649135,1,1,79.94
Male,CSE,Night (6:00 PM - 6:00 AM),21,2,6,6,3,3,40,0,2.0,8.030385531045514,90.04,0,1,6.01,8.012497820393563,0,2.039779350366212,6.040969741546771,7.96427449941218,5.001150475114918,1,0,80.2
Non-binary,CSE,Night (6:00 PM - 6:00 AM),58,2,1,8,5,40,4,0,2.02,12.009017693007014,90.01,0,0,8.0,6.996855438112795,1,1.9850685082093655,6.008856681171991,8.974735766618048,6.012766961832284,1,0,77.9
Male,BA LLB,Night (6:00 PM - 6:00 AM),22,0,6,9,6,1,90,1,3.0,13.990325869526504,74.77,1,0,5.01,9.9722158020944,0,8.99436939940374,3.9776999177159014,8.944090928554814,5.998475611461117,1,1,82.99
Male,BSC,Night (6:00 PM - 6:00 AM),20,1,5,7,4,60,40,1,11.95,7.929240698748134,91.14,0,0,7.95,9.000015871390934,0,3.9679786443270264,8.969554530927264,5.0055482343999875,6.9699880695909835,1,1,91.08
Male,BSC,Night (6:00 PM - 6:00 AM),21,1,5,9,0,15,40,2,1.97,1.0658466937320488,69.99,0,0,9.99,0.998772759030122,0,6.992206381411476,6.960092882111361,8.046125693284237,4.011356364365186,1,1,70.89
Female,B.DES,Night (6:00 PM - 6:00 AM),25,7,5,6,4,3,30,0,5.02,7.968287687976011,88.77,0,0,3.99,4.038050473943651,1,8.013263336081174,8.944458117174614,1.983062101645104,2.9769242047278737,1,1,83.68
Female,CSE,Afternoon (12:00 PM - 6:00 PM),20,4,8,8,0,25,120,2,1.01,10.004226531485836,80.51,1,0,7.0,3.036840162111601,0,6.991685503361522,2.9868701210340496,1.99528488847631,2.014851496444189,1,1,73.64
Female,CSE,Night (6:00 PM - 6:00 AM),24,2,7,4,3,30,60,1,0.04,4.016015271854501,85.11,0,0,8.0,6.986720007774738,0,7.00069079590919,6.995265254678477,8.02479628535753,7.9732210427068155,1,1,80.19
Male,CSE,Night (6:00 PM - 6:00 AM),19,3,6,6,4,60,6,0,3.01,17.991451569064463,57.97,0,0,5.0,7.982749637549296,0,6.967671024649946,5.973518713836938,6.006506045373972,4.984209973950329,1,1,76.06
Male,CSE,Night (6:00 PM - 6:00 AM),20,4,4,8,4,40,60,4,1.97,1.063100731011237,65.32,0,0,5.0,3.9624526083434994,0,3.9843800468848305,8.981441259199944,7.976173551078834,5.9916995237371875,1,0,70.95
Male,CSE,Afternoon (12:00 PM - 6:00 PM),22,0,4,1,3,1,40,2,0.0,5.943105464537762,55.42,1,0,6.99,5.995426472624982,0,10.059787586231241,8.974122534190746,1.0373491388997265,6.015489791169223,1,0,59.95
Female,BBA,Night (6:00 PM - 6:00 AM),22,7,4,9,2,15,0,2,0.0,18.08077105321506,73.97,0,0,7.99,4.986846826870664,1,0.9962434809281934,0.9571471593140852,7.0048285749181405,6.004042320988133,1,1,88.88
Female,CSE,Night (6:00 PM - 6:00 AM),21,3,7,8,2,15,50,4,0.43,1.0312828435047825,85.08,0,0,2.0,2.072319903094867,0,7.010176651210822,9.995392438617761,4.9943176237917095,6.000459392197002,1,1,91.02
Female,BBA,Morning (6:00 AM - 12:00 PM),20,0,5,10,6,45,30,0,4.05,12.988521108029964,89.77,1,0,7.01,4.969062515082813,0,2.9775090951020577,3.0181371557534034,7.996343101717191,6.043310213167302,1,0,10.1
Male,BA,Night (6:00 PM - 6:00 AM),24,1,5,8,0,3,50,2,1.01,9.989042394050204,22.97,0,0,10.0,7.001624871780185,0,10.00145035525495,4.986167780441771,8.014458713598351,4.957808002694878,1,1,70.87
Male,CSE,Afternoon (12:00 PM - 6:00 PM),21,3,5,8,0,20,80,1,5.04,5.896734867459515,64.95,0,0,3.99,3.9821688528654398,0,3.992411171544347,7.030814898790218,9.984990274606698,4.976150447305515,1,0,76.04
Female,CSE,Morning (6:00 AM - 12:00 PM),22,2,12,9,6,0,120,2,2.95,2.960487179828263,58.04,0,0,8.98,3.0006828078721783,0,10.030852685711782,9.004153476427506,3.0384579646366316,6.975167164122873,0,1,81.88
Male,BA,Afternoon (12:00 PM - 6:00 PM),24,1,5,3,3,50,3,2,2.04,17.983514271174453,85.08,1,0,10.01,6.990752528238285,0,2.0295210550133778,6.024221427601748,7.030799081300343,4.959331495755942,1,1,85.99
Male,CSE,Night (6:00 PM - 6:00 AM),22,0,4,4,2,0,70,0,5.07,12.008203413607657,93.13,0,0,6.01,3.0225086439228948,0,10.032483190857592,6.0008596852008,5.000207502333103,6.9834740100021255,1,1,83.92
Male,BBA,Morning (6:00 AM - 12:00 PM),19,2,3,5,5,40,360,0,1.96,10.058674468794539,75.05,0,1,9.02,6.012213185687318,0,10.002251522212328,8.018204726950025,2.001507597517749,4.0157967450752805,1,1,70.13
Female,CSE,Night (6:00 PM - 6:00 AM),20,1,6,3,0,100,100,1,4.02,8.094914010277652,79.72,0,0,9.99,2.0215813363229165,0,8.057198598139339,1.9617309304807988,7.979297141692583,0.986410988423481,1,1,70.0
Male,BBA,Morning (6:00 AM - 12:00 PM),22,1,6,5,2,50,45,1,1.0,10.012682887636533,75.79,0,0,8.96,2.979141538765266,1,10.022538632872655,5.022850356612179,9.98440414105741,7.9923515572743336,1,0,84.84
Male,CSE,Afternoon (12:00 PM - 6:00 PM),20,7,5,1,5,40,20,2,1.95,8.009577799941317,64.88,0,0,8.01,6.029936833753201,1,5.959914944674066,9.000176376368211,3.9722165597526287,6.960436203123725,1,0,70.99
Male,BCA,Morning (6:00 AM - 12:00 PM),22,0,7,8,6,30,240,2,5.02,2.977158178872587,97.94,0,0,8.99,5.986638989095233,0,5.043252056369767,6.029779446520089,7.99500624373721,6.981705327718839,1,1,91.14
Male,CSE,Night (6:00 PM - 6:00 AM),24,1,4,10,5,50,60,0,4.03,23.920106312886016,33.57,0,0,5.0,3.960994662325481,0,5.999838701246449,8.99315820144893,8.001525561955086,9.989395661661451,1,0,79.83
Male,CSE,Afternoon (12:00 PM - 6:00 PM),19,7,7,9,5,50,120,2,4.98,0.9717809368911035,19.73,0,0,2.0,4.994954872388395,0,6.031923232136148,9.047240684486473,8.96109038906249,7.014754711675659,1,1,80.96
Male,CSE,Morning (6:00 AM - 12:00 PM),23,7,2,7,2,1,50,0,2.04,9.990427241796501,91.92,0,0,8.01,3.003144440737492,0,2.9704786183967693,6.014476015924521,5.016857849323943,7.961530366941339,1,0,79.94
Male,B.DES,Night (6:00 PM - 6:00 AM),24,0,5,3,0,6,7,2,0.0,7.045436330327841,55.22,0,0,6.02,2.9653356924608993,0,9.998003054182005,1.9754461740302356,2.9786892760108166,3.989549317501381,1,0,98.03
Male,CSE,Afternoon (12:00 PM - 6:00 PM),21,2,5,5,3,100,600,1,5.95,13.02420029617452,75.93,1,0,6.02,13.024231085226091,0,8.021029208668795,1.0305985564709366,6.010077138711789,3.0249621359431744,1,1,70.97
Male,CSE,Night (6:00 PM - 6:00 AM),20,0,4,3,6,10,66,2,1.0,10.01032013487309,78.11,1,0,6.03,5.977500700772159,0,5.006841063310918,4.971307561817781,9.019753619902913,9.989777286376949,1,1,75.05
Male,CSE,Afternoon (12:00 PM - 6:00 PM),20,3,4,6,6,90,6,1,2.0,5.972944867898442,0.0,0,0,10.0,4.976313612717949,0,8.995810443924388,5.969790720245862,10.03198394502586,1.9514095918964305,1,0,81.9
Male,MBA,Morning (6:00 AM - 12:00 PM),20,0,4,5,2,1,60,0,0.98,9.907668006449637,3.06,0,1,5.97,7.999998867038381,0,5.931066198710546,8.034955701882996,3.02684517918151,4.029380226280712,1,1,81.98
