Age,Gender,Program_Stream,Daily_Study_Hours,Weekly_Revision_Days,Study_Hours_Before_Exam,Number_of_Subjects,Class_Attendance_Percentage,Assignment_Quality_Rating,Group_Study,Coaching_or_Tuition,Average_Sleep_Hours,Caffeine_Intake_Cups,Daily_Screen_Time_Hours,Exercise_Days_Per_Week,Daily_Commute_Time_Minutes,Part_Time_Job,Stress_Level,Motivation_Level,Concentration_Ability,Study_Environment_Quality,Phone_Usage_During_Study_Minutes,Uses_AI_Tools,Uses_Handwritten_Notes,Preferred_Study_Time,Final_Score_Percentage
20,Male,CSE,1,0,12,4,72,10,1,0,8,2,6,6,15,0,5,5,5,5,10,1,0,Night (6:00 PM - 6:00 AM),70
22,Male,CSE,2,0,5,4,89,7,0,0,6,0,3,5,240,0,5,7,8,8,9,1,0,Night (6:00 PM - 6:00 AM),80
20,Male,CSE,1,0,12,4,72,10,1,0,8,2,6,6,15,0,5,5,5,5,10,1,0,Night (6:00 PM - 6:00 AM),70
20,Male,B.DES,1,0,3,2,85,5,0,0,6,0,7,6,5,0,4,5,6,6,50,1,0,Night (6:00 PM - 6:00 AM),90
20,Male,CSE,2,2,6,6,76,6,0,0,10,1,6,2,1,0,7,8,5,7,2,1,1,Night (6:00 PM - 6:00 AM),87
20,Male,CSE,1,1,3,5,50,5,0,0,8,2,4,5,60,0,7,2,5,5,180,1,0,Night (6:00 PM - 6:00 AM),70
18,Male,DROPOUT,6,1,1,7,33,2,0,1,8,0,4,0,3,0,10,1,9,10,240,0,0,Night (6:00 PM - 6:00 AM),33
21,Female,BBA,0,0,8,1,91,10,1,0,8,0,8,0,1,1,10,5,5,5,30,1,1,Night (6:00 PM - 6:00 AM),92
19,Female,BA,1,0,3,5,85,8,0,0,10,0,14,0,40,0,6,3,2,3,40,1,1,Morning (6:00 AM - 12:00 PM),72
24,Female,BHMS,3,2,8,4,75,8,1,0,8,1,2,4,1,0,2,8,6,6,50,1,1,Morning (6:00 AM - 12:00 PM),68
19,Male,CSE,1,0,0,6,75,2,0,0,10,2,5,0,40,0,7,2,10,3,20,1,1,Night (6:00 PM - 6:00 AM),76
24,Female,BHMS,12,7,12,6,98,5,0,0,6,1,4,4,6,0,4,5,4,5,6,0,1,Night (6:00 PM - 6:00 AM),76
24,Female,BHMS,3,7,8,5,69,9,1,0,9,4,5,5,70,0,4,8,8,7,80,1,1,Morning (6:00 AM - 12:00 PM),71
24,Female,BHMS,1,1,5,12,50,2,0,0,10,2,8,1,50,0,7,3,2,2,60,1,1,Morning (6:00 AM - 12:00 PM),91
19,Male,CSE,5,1,12,5,74,8,0,0,4,0,3,0,1,0,9,4,8,3,0,1,0,Night (6:00 PM - 6:00 AM),78
20,Male,CSE,0,0,8,6,85,7,0,0,6,0,8,2,30,0,1,5,10,5,15,1,0,Night (6:00 PM - 6:00 AM),89
22,Female,BBA,6,3,24,6,91,10,1,1,8,2,6,3,3,0,3,8,7,7,6,1,1,Night (6:00 PM - 6:00 AM),89
20,Male,CSE,1,2,10,5,93,8,1,0,5,1,10,6,60,0,8,10,10,7,50,1,1,Night (6:00 PM - 6:00 AM),85
21,Male,CSE,2,3,8,4,74,6,0,0,6,2,4,6,15,0,8,4,5,4,10,1,1,Night (6:00 PM - 6:00 AM),78
20,Female,CSE,0,0,15,5,74,8,0,0,8,1,3,3,15,0,5,1,3,8,40,1,1,Night (6:00 PM - 6:00 AM),94
21,Female,BA LLB,2,1,18,6,95,8,1,0,6,2,6,0,0,0,9,3,5,7,360,1,1,Night (6:00 PM - 6:00 AM),8
19,Male,CSE,3,2,3,4,80,8,0,0,5,2,2,2,20,0,4,9,7,8,20,1,0,Afternoon (12:00 PM - 6:00 PM),84
20,Female,CSE,1,2,8,6,23,5,0,0,7,1,10,3,25,1,4,3,3,3,20,1,1,Night (6:00 PM - 6:00 AM),75
20,Male,CSE,0,1,5,4,77,8,0,0,7,2,10,0,5,0,10,1,1,1,60,1,0,Night (6:00 PM - 6:00 AM),80
20,Male,BA LLB,3,1,8,6,96,6,0,0,7,2,3,5,0,0,7,8,9,6,60,1,1,Morning (6:00 AM - 12:00 PM),80
20,Male,CSE,3,1,6,5,80,5,0,0,7,0,6,6,20,0,3,7,6,7,30,1,0,Night (6:00 PM - 6:00 AM),86
21,Male,LLB,1,0,8,6,85,6,0,0,6,1,4,0,0,0,7,7,6,8,120,1,1,Night (6:00 PM - 6:00 AM),78
22,Male,CSE,1,1,2,4,90,7,0,0,6,0,2,3,300,0,3,6,9,7,7,1,0,Afternoon (12:00 PM - 6:00 PM),87
20,Male,CSE,2,1,8,6,65,7,1,0,6,0,4,4,50,0,10,1,6,4,80,1,1,Night (6:00 PM - 6:00 AM),75
